Date,Symbol,Bias,Signal,Confidence,Entry,Stop,Target,Strategy,Notes
2026-02-10,GC,BULLISH,SLIGHT_BULLISH,7, , , ,MEAN_REVERSION,Weaker USD and ETF inflows are supportive. Flat real yields cap conviction.
2026-02-10,SI,BULLISH,BULLISH,7, , , ,IB_BREAKOUT,Weaker USD, rising copper, and gold inflows are all supportive.
2026-02-10,CL,BULLISH,BULLISH,6, , , ,IB_BREAKOUT,Inventory draw and geopolitical risk are bullish. No supply shock limits conviction.
2026-02-10,ES,BULLISH,SLIGHT_BULLISH,6, , , ,MEAN_REVERSION,Narrowing credit spreads and weaker USD are supportive. Balanced risk mood.
2026-02-10,NQ,BULLISH,BULLISH,7, , , ,IB_BREAKOUT,SOX strength and falling MOVE are strong tailwinds.
2026-02-10,YM,BULLISH,BULLISH,6, , , ,MEAN_REVERSION,Credit and curve are supportive. Stable growth narrative.
2026-02-10,RTY,BULLISH,BULLISH,7, , , ,IB_BREAKOUT,Narrowing credit spreads are a major tailwind for small caps.
2026-02-10,M6E,BULLISH,SLIGHT_BULLISH,5, , , ,FADE,Only supported by USD weakness. Neutral rate differentials.
2026-02-10,6A,BULLISH,SLIGHT_BULLISH,6, , , ,MEAN_REVERSION,Weaker USD and rising copper are supportive.
2026-02-10,6J,BULLISH,STRONG_BULLISH,8, , , ,IB_BREAKOUT,BoJ normalization and widening rate differentials are very supportive.
