Factor,Score,Rationale
Fed Stance,0,Neutral hold - 90.8% hold probability, but 18-19% cut probability forward
Real Yields,+2,Falling - down from 1.80% to 1.758%, down >5bps
USD (DXY),+1,Weak/Falling - down 2.26% over 1 month, down 9.56% over 1 year
Risk Mood (VIX),+1,Risk-off - VIX at 20.60, above 20
VIX Direction,+1,Falling - down 1.06% today
Growth (GDPNow),0,Stable - 3.7% is solid, no clear acceleration/deceleration
Credit Spreads (HY OAS),+1,Narrowing - at 2.92%, tightening from ~3.2%
SOX,+1,Rising - up 5.84% over 1 month, up 59.95% over 1 year
MOVE,-1,Rising - up 15.32% over 1 month, negative for risk assets
2s10s Curve,+1,Steepening - at 0.64%, rising from ~0.0%
Copper,0,Flat - mixed signals, down 1 month but up 3-6 months
Gold ETF Flows,+1,Inflows - US$19bn in January, record month
Oil Inventories,-1,Build - up 8.5 million barrels
Geopolitical Risk,+1,Rising - Trump tariffs, trade tensions
Oil Supply,0,Neutral - no major disruptions reported
ECB Stance,0,Neutral hold - rates unchanged at 2.00%
RBA Stance,-2,Hawkish hike - first hike in 2 years, +25bps to 3.85%
BoJ Stance,+1,Hawkish/Tightening - held at 0.75% but signaling more hikes
China Growth,-1,Slowing - PMI shows contraction, growth forecasts down to 4.5-4.8%
Rate Differential (EUR-USD),0,Stable - both Fed and ECB on hold
Rate Differential (AUD-USD),-1,Narrowing vs USD - RBA hiking while Fed on hold
Rate Differential (JPY-USD),+1,Widening vs USD - BoJ tightening, Fed on hold
Risk Sentiment,+1,Risk-on for commodities - VIX falling today despite elevated
